=== FINAL RESULTS ===
 406.29 | lr=0.08 | decay=1 | batch=14
 296.30 | lr=0.08 | decay=0 | batch=16
 340.80 | lr=0.08 | decay=1 | batch=16
 265.08 | lr=0.08 | decay=0 | batch=32
 231.88 | lr=0.08 | decay=1 | batch=32
 161.38 | lr=0.08 | decay=0 | batch=64
 158.72 | lr=0.08 | decay=1 | batch=64
 118.61 | lr=0.1 | decay=0 | batch=6
 343.66 | lr=0.1 | decay=1 | batch=6
  90.11 | lr=0.1 | decay=0 | batch=7
 313.85 | lr=0.1 | decay=1 | batch=7
 260.79 | lr=0.1 | decay=0 | batch=8
 385.28 | lr=0.1 | decay=1 | batch=8
 270.20 | lr=0.1 | decay=0 | batch=9
 204.59 | lr=0.1 | decay=1 | batch=9
 264.48 | lr=0.1 | decay=0 | batch=10
 295.39 | lr=0.1 | decay=1 | batch=10
 278.21 | lr=0.1 | decay=0 | batch=11
 376.79 | lr=0.1 | decay=1 | batch=11
 287.18 | lr=0.1 | decay=0 | batch=12
 303.53 | lr=0.1 | decay=1 | batch=12
 235.23 | lr=0.1 | decay=0 | batch=14
 292.86 | lr=0.1 | decay=1 | batch=14
 320.82 | lr=0.1 | decay=0 | batch=16
 247.50 | lr=0.1 | decay=1 | batch=16
 285.95 | lr=0.1 | decay=0 | batch=32
 227.62 | lr=0.1 | decay=1 | batch=32
 108.31 | lr=0.1 | decay=0 | batch=64
 146.22 | lr=0.1 | decay=1 | batch=64
